,product_name,price
11,Мороженое Б.Ю.Александров Эскимо пломбир с розовым грейпфрутом 80г,"122,9 /шт"
12,Мороженое Красный мак Эскимо 70г,43 /шт
13,Мороженое Oreo Сливочное с дробленым печеньем в вафельном рожке 72г,"95,9 /шт"
14,Мороженое Золотой Стандарт Клубничное в вафельном стаканчике 12% 85г,"53,9 /шт"
15,Мороженое Вологодский пломбир эскимо с черной смородиной в глазури с ароматом черники 22% 80г,"70,9 /шт"
16,Мороженое О12 Протеиновое Шоколад 70г,"199,9 /шт"
17,Мороженое Вологодский пломбир с крошкой из молочного шоколада 15% 250г,"199,9 /шт"
18,Мороженое 48 Копеек Пломбир Абрикос-апельсин в вафельном стаканчике 104г,"68,9 /шт"
19,Мороженое Extreme Intriga Малина-Банан 8% 78г,"73,9 /шт"
20,Мороженое Свитлогорье Пломбир Трубочка Золотая ириска 80г,"82,9 /шт"
21,Мороженое Филевское Пломбир Миндальная вишня 550г,419 /шт
22,Мороженое Мишка на Полюсе Пломбир Клюква и Брусника 450г,299 /шт
23,Мороженое Movenpick пломбир с кленовым сиропом и кусочками карамелизованных грецких орехов 12% 2.4л,2 282 /шт
24,Мороженое Movenpick Black Forest Cake мороженое сливочное двухслойное шоколадное и со вкусом сливок с вишней и кусочками печенья 8.6% 2.4л,2 178 /шт
25,Мороженое Alpen Gold сливочное с хрустящим рисом и солеными шариками 8% 58г,"104,9 /шт"
26,Мороженое Extreme Сливочное Мадагаскарская ваниль в вафельном рожке 77г,"73,9 /шт"
27,Мороженое Сарафаново Пломбир Ванильный 15% 220г,"139,9 /шт"
28,Мороженое Вологодский Пломбир в печенье 15% 80г,"85,9 /шт"
29,Мороженое Kiss me Сливочное Бельгийский шоколадный десерт 8% 125г,"129,9 /шт"
0,Мороженое Свитлогорье Пломбир Трубочка 80г,"82,9 /шт"
1,Мороженое Зеленая Линия сливочное Фисташковое 8% 75г,"109,9 /шт"
2,Мороженое M&Ms сливочное с драже 9.5% 295г,"349,9 /шт"
3,Мороженое Филевский Стаканчик Пломбир с шоколадной глазурью 15% 100г,"59,9 /шт"
4,Мороженое Вологодский пломбир на вареном сгущенном молоке 250г,"194,9 /шт"
5,Мороженое Чистая Линия Пломбир шоколадный в вафельном стаканчике 80г,"82,9 /шт"
6,Мороженое Чистая Линия Пломбир с пюре и кусочками манго 70г,"144,9 /шт"
7,Мороженое 48 Копеек Пломбир Эскимо в темном шоколаде 58г,"85,9 /шт"
8,Мороженое О12 Протеиновое Ваниль 70г,"199,9 /шт"
9,Мороженое Золотой Стандарт Пломбир Классический 12% 475г,"418,9 /шт"
10,Мороженое Зимний Вальс сливочное с шоколадной глазурью 450г,"250,9 /шт"
11,Мороженое Инмарко Лама молочное Попкорн - сладкая вата 60г,"63,9 /шт"
12,Мороженое Талосто Craft Ice Cream Пломбир ванильный с Клюквой в темном шоколаде 58% 80г,"89,9 /шт"
13,Мороженое Dessert Fantasy Пломбир Грецкий орех в карамели 12% 450г,"468,9 /шт"
14,Мороженое Хаврошечка молочное с ароматом ванили 60г,"24,9 /шт"
15,Мороженое Свитлогорье Пломбир трубочка ванильный в шоколадной глазури 15% 80г,"93,9 /шт"
16,Мороженое Мишка на Полюсе Пломбир Топленое молоко 200г,119 /шт
17,Мороженое Вологодский пломбир клубничное в глазури 20% 80г,"70,9 /шт"
18,Мороженое Мишка на Полюсе Пломбир шоколадный 450г,287 /шт
19,Мороженое 48 Копеек Шоколадное с глазурью и кусочками арахиса 106г,"109,9 /шт"
20,Мороженое Айсберри Фисташковое с миндалем 450г,"518,9 /шт"
21,Мороженое Baskin Robbins Миндально-фисташковое 24.8% 70г,"135,9 /шт"
22,Мороженое Филевское Пломбир Бисконтино 550г,419 /шт
23,Мороженое Movenpick сливочное двухслойное кокосовое и шоколадное 10% 2.4л,2 346 /шт
24,Мороженое Петрохолод Как раньше пломбир ванильный 400г,"288,9 /шт"
25,Мороженое Петрохолод Как раньше пломбир ванильный с кусочками шоколада 400г,"276,9 /шт"
26,Мороженое 48 Копеек Пломбир с рисовыми шариками глазурью и арахисом в вафельном стаканчике 15% 96г,"61,9 /шт"
27,Мороженое Талосто живое Пломбир Цельные ягоды с черникой 450г,"278,9 /шт"
28,Мороженое Мишка на Полюсе Сахарный стаканчик Пломбир Крем-брюле 70г,46 /шт
29,Мороженое Б.Ю.Александров Эскимо пломбир с ванилью в бельгийском белом шоколаде с фисташкой 80г,"120,9 /шт"
0,Мороженое Вологодский пломбир Пломбир с кусочками ягод Брусника и Клюква в вафельном стаканчике 100г,"75,9 /шт"
1,Мороженое Вологодский пломбир Пломбир с кусочками ягод Черная смородина и Клюква в сахарном рожке 120г,"114,9 /шт"
2,Мороженое Вологодский пломбир в вафельном стаканчике 15% 100г,"69,9 /шт"
3,Мороженое Эkzo Черника-Ежевика 2.5% 520г,"357,9 /шт"
4,Мороженое Золотой Стандарт Сэндвич Пломбир 12% 69г,"53,9 /шт"
5,Мороженое Золотой стандарт Пломбир клубничный в вафельном рожоке 12% 100г,"77,9 /шт"
6,Мороженое Золотой Стандарт Пломбир с черникой 475г,"348,9 /шт"
7,Мороженое Золотой Стандарт Пломбир Классический в вафельном рожке 12% 100г,"77,9 /шт"
8,Мороженое Cornetto Сахарный рожок с чаем матча латте и соусом из манго 73г,"73,9 /шт"
9,Мороженое Cornetto Enigma Единорог Клубника Бабл гам черная смородина 73г,"69,9 /шт"
10,Мороженое Agama Viva Джелато Йогурт-Вишня 8% 80г,"158,9 /шт"
11,Мороженое Bahroma Сливочное Курага Абрикос и Миндаль 450г,301 /шт
12,Мороженое Bahroma Эскимо двухслойный Fondant Фисташка-Финик 75г,66 /шт
13,Мороженое Agama Viva Джелато  сливочное 4 ореха 8% 80г,"230,9 /шт"
14,Мороженое Agama Viva Джелато сливочное Банан-страчателла 10% 80г,"198,9 /шт"
15,Мороженое Bahroma Эскимо Фруктовый лукум Гранат-Черешня 6% 75г,"67,9 /шт"
16,Мороженое Bahroma Сливочное Шоколад с цельным фундуком 450г,286 /шт
17,Мороженое Maxibon Страчателла 6% 93г,"85,9 /шт"
18,Мороженое Movenpick Blueberry Cheesecake пломбир с черникой  творожным сыром и печеньем 12.5% 2.4л,2 576 /шт
19,Мороженое Movenpick ванильное 14% 2.4л,2 159 /шт
20,Мороженое Movenpick пломбир ванильное 252г,"607,9 /шт"
21,Мороженое Movenpick пломбир с карамельным соусом и кусочками печенья 12.7% 2.4л,2 576 /шт
22,Мороженое Movenpick пломбир с сыром маскарпоне и кусочками печенья тирамису 14% 1.4кг,2 576 /шт
23,Мороженое Movenpick пломбир с манговым наполнителем и  кусочками манго 12.7% 2.4л,2 346 /шт
24,Мороженое Oreo с печеньем 8% 76г,"96,9 /шт"
25,Мороженое Movenpick пломбир с сыром маскарпоне и кусочками печенья тирамису 277г,"607,9 /шт"
26,Мороженое Movenpick пломбир с фисташками и  фисташковым соусом 12% 2.4л,2 576 /шт
27,Мороженое Movenpick пломбир с фисташками и фисташковым соусом 287г,"607,9 /шт"
28,Мороженое Movenpick сливочное двухслойное кокосовое и шоколадное 263г,"607,9 /шт"
29,Мороженое Айскейк Москва Маршмеллоу с шоколадным печеньем 85г,"102,9 /шт"
0,Мороженое Cheeseberry Пломбир Эскимо Ванильный в темном шоколаде из козьего молока 12% 70г,"172,9 /шт"
